CODE,NAME
0302-0018,ASSEMBLIES OF GOD CHURCH -NII ANKRAMAN
0302-0019,AGYA HERBAL CENTRE OFANKOR
0302-0020,PRESBYTERIAN CHURCH -NORTH OFANKOR
0302-0021,ANGLICAN PRIM. SCH. OFANKOR
0302-0022,CHRIST IMPACT CHURCH OFANKOR
0302-0023,M/A JHS OFANKOR
0302-0024,S.D.A. CHURCH OFANKOR
0302-0025,APOSTOLIC CHURCH OF GHANA OFANKOR
0302-0026,METH PRIM. SCH. AMAMORLEY
0302-0027,M/A JHS ASOFA
0302-0028,YAHWE INT. SCH.-ASOFA
0302-0029,ST BENEDICT CATHOLIC CHURCH ASOFA
0302-0030,RAINBOW  SPOT OFANKOR
0302-0031,AGENDA 2K OFANKOR
0302-0032,PENTECOST CHURCH -ASOFA NEW TOWN
0302-0033,M/A PRIM SCH OMANJOR
0302-0034,HALEM INT. SCH ASOFA
0302-0035,MENSAH ADDO PREP SCH-OMANJOR
0302-0036,MOTHER REBECCA`S SCH. ASOFA
0302-0037,HIS GRACE SCH. ACP POKUASE
0302-0038,REV. H AFENI PRIM. SCH. POKUASE
0302-0039,SDA CHURCH POKUASE
0302-0040,PRESBY CHURCH POKUASE
0302-0041,M/A JHS POKUASE
0302-0042,"METH CHURCH,POKUASE"
0302-0043,AMPAX HOTEL POKUASE WEST
0302-0044,M/A PRIM SCH. AYAWASO
0302-0045,USMAN BUN AFFAN BASIC SCH.AMANFROM
0302-0046,PRESBY CHURCH FISE
0302-0047,MENNONITE CHURCH ABEHENEASE
0302-0048,"GPRTU OFFICE, ABENSU"
0302-0049,HALLOWED INT. CHURCH AFIAMAN
0302-0050,JEHOVAH WITNESS CHURCH AFIAMAN
0302-0051,"MOUNT ARARAT  CHURCH, STADIUM AFIAMAN"
0302-0052,M/A PRIM SCH KATAPOR
0302-0053,M/A PRIM SCH  BODUMASE
0302-0054,M/A PRIM SCH DEDEIMAN
0302-0055,M/A PRIM SCH OTSIRIKOMFO
0302-0056,PRESBY PRIM SCH OSOFOEMAN
